;neurons number;learning rate;epoch;mean acc.(train);mean acc.(test)
0;1;0.0001;1000;51.3035251823983;51.26311318341933
1;1;0.0001;2000;51.735024803730184;51.68653460367857
2;1;0.0001;5000;52.13534626503236;52.019008981453105
3;1;0.005;1000;55.72155922243163;55.172740511585985
4;1;0.005;2000;55.87796211284767;55.10187788381715
5;1;0.005;5000;57.02648656941002;55.72490739334703
6;1;0.05;1000;62.49406785366489;59.19484852200594
7;1;0.05;2000;63.41948084280399;59.807267907761684
8;1;0.05;5000;64.30193801684659;60.41597954952215
9;1;0.5;1000;66.61929012456403;62.8229268722322
10;1;0.5;2000;66.96269433665172;62.71221316013413
11;1;0.5;5000;67.15349308859702;63.25715313695404
12;3;0.0001;1000;51.59060940433464;51.94292276140982
13;3;0.0001;2000;52.791441660848804;52.847756557779576
14;3;0.0001;5000;53.678411260522275;53.57629174304625
15;3;0.005;1000;68.05797987685268;68.16851935814876
16;3;0.005;2000;71.03739892581974;71.41467336946582
17;3;0.005;5000;73.74319266758975;74.162194820367
18;3;0.05;1000;89.03594347255229;89.24593234774427
19;3;0.05;2000;91.13703675882017;91.48610900768644
20;3;0.05;5000;92.54253486243321;93.04600565710997
21;3;0.5;1000;95.42181447777526;96.15845529054212
22;3;0.5;2000;95.66002999631829;96.55203241026268
23;3;0.5;5000;95.92040150108434;96.91619844500954
24;5;0.0001;1000;52.93765714643439;52.62206481348427
25;5;0.0001;2000;53.655252912244535;53.409816199349656
26;5;0.0001;5000;54.41827079183725;54.12447479017953
27;5;0.005;1000;69.59249820978361;69.88888187053666
28;5;0.005;2000;72.38358038828734;72.90952672585053
29;5;0.005;5000;75.26095876272446;75.74370228233542
30;5;0.05;1000;89.94419342052852;90.18846909102042
31;5;0.05;2000;91.900448091997;92.28871352191365
32;5;0.05;5000;93.11251696857711;93.65008136271562
33;5;0.5;1000;95.44173103934318;96.2504944793596
34;5;0.5;2000;95.72888716473958;96.58274040780375
35;5;0.5;5000;95.9933667998997;96.93899660577948
36;7;0.0001;1000;53.80761114353705;53.49820129087625
37;7;0.0001;2000;54.521313970570155;54.236688088774464
38;7;0.0001;5000;55.026649439319016;54.69732356325664
39;7;0.005;1000;69.2948258626923;69.50922382119062
40;7;0.005;2000;72.48248175980878;72.9473450216795
41;7;0.005;5000;75.34640569387169;75.79522300879863
42;7;0.05;1000;90.20339804436671;90.42388172375209
43;7;0.05;2000;92.05616949184717;92.44147964103274
44;7;0.05;5000;93.24280256137574;93.78421741859091
45;7;0.5;1000;95.42271911132089;96.418474941516
46;7;0.5;2000;95.67727148963267;96.75109412884771
47;7;0.5;5000;95.97391502106203;97.03859127558901
48;10;0.0001;1000;54.20021771276957;53.95279157562682
49;10;0.0001;2000;54.919411395059385;54.60910453280242
50;10;0.0001;5000;55.39290642581783;55.05529654864048
51;10;0.005;1000;71.90850310519416;72.35593202390348
