;neurons number1;neurons number2;learning rate;epoch;mean acc.(train);mean acc.(test)
0;1;1;0.0001;1000;50.099562443416715;50.33469739989547
1;1;1;0.0001;1000;49.98291696634641;50.136129145585784
2;1;1;0.0001;1000;49.749354347216666;49.754218318227664
3;1;1;0.0001;1000;49.89258439354595;50.104513876198695
4;1;1;0.0001;1000;50.32875355618941;50.38580793907901
5;1;1;0.0001;1000;50.56567691224904;50.545020055799625
6;1;1;0.0001;1000;50.78093688717909;50.80317350726916
7;1;1;0.0001;1000;50.73938273997461;50.65537049348023
8;1;1;0.0001;1000;50.660243225265376;50.55569119264996
9;1;1;0.0001;1000;50.55107154076373;50.526429611989236
10;1;1;0.0001;2000;50.60919648265888;50.54496807040548
11;1;1;0.0001;2000;50.709279754885905;50.6974072484015
12;1;1;0.0001;2000;50.718100298258946;50.68313714009863
13;1;1;0.0001;2000;50.90510960762862;50.89570513013225
14;1;1;0.0001;2000;51.055461962501475;51.026022644148384
15;1;1;0.0001;2000;51.08862106517613;51.053392944322994
16;1;1;0.0001;2000;51.10263490177157;51.04232351922481
17;1;1;0.0001;2000;51.2544945405574;51.181602915311515
18;1;1;0.0001;2000;51.28988203494345;51.185011216247425
19;1;1;0.0001;2000;51.30712904303398;51.20667136251433
20;1;1;0.0001;5000;51.39220384388552;51.30202982801839
21;1;1;0.0001;5000;51.464165678853966;51.35242023487802
22;1;1;0.0001;5000;51.568093383511574;51.45569150505505
23;1;1;0.0001;5000;51.644732453929215;51.52722396242347
24;1;1;0.0001;5000;51.70086861362033;51.57845328857122
25;1;1;0.0001;5000;51.713639239576985;51.59343291644894
26;1;1;0.0001;5000;51.80351209265981;51.676744991669466
27;1;1;0.0001;5000;51.831576526088575;51.70695964891485
28;1;1;0.0001;5000;51.88449018615398;51.75805994821147
29;1;1;0.0001;5000;51.97139657981201;51.842716370178714
30;1;1;0.005;1000;55.725112955292246;55.24860639413558
31;1;1;0.005;1000;55.70518074971926;55.26146822644705
32;1;1;0.005;1000;55.70676323336827;55.26811323312727
33;1;1;0.005;1000;55.71692342679834;55.25532329402892
34;1;1;0.005;1000;55.71230098933222;55.25985375022558
35;1;1;0.005;1000;55.705742307508594;55.26290311034956
36;1;1;0.005;1000;55.704192306557175;55.26541015880425
37;1;1;0.005;1000;55.71013149414976;55.25966025237801
38;1;1;0.005;1000;55.708886196794275;55.261968862382474
39;1;1;0.005;1000;55.705312385507135;55.26419200208467
40;1;1;0.005;2000;55.7049241410688;55.26610222029649
41;1;1;0.005;2000;55.70435360082059;55.267020782183444
42;1;1;0.005;2000;55.70649493022403;55.26834568258432
43;1;1;0.005;2000;55.70733921564642;55.26725849613435
44;1;1;0.005;2000;55.703649911086046;55.26394951246437
45;1;1;0.005;2000;55.703145486586095;55.26490828586144
46;1;1;0.005;2000;55.701990244411434;55.26439316664916
47;1;1;0.005;2000;55.700541006667805;55.26342197150502
48;1;1;0.005;2000;55.69973444387786;55.26348818272765
49;1;1;0.005;2000;55.70051529136633;55.26282599889288
50;1;1;0.005;5000;55.69989742034369;55.26385487923255
